title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
The Shawshank Redemption,2000.5,"In 1947, Andy Dufresne, a banker in Maine, is convicted of murdering his wife and her lover and is sentenced to two consecutive life sentences at Shawshank State Penitentiary. Andy befriends contraband smuggler Ellis ""Red"" Redding, an inmate serving a life sentence. Red procures a rock hammer and a large poster of Rita Hayworth for Andy.

    Working in the prison laundry, Andy is regularly assaulted by ""the Sisters"" and their leader, Bogs. In 1949, Andy overhears the captain of the guards, Byron Hadley, complaining about being taxed on an inheritance and offers to help him shelter the money legally. After an assault by the Sisters nearly kills Andy, Hadley beats Bogs severely. Bogs is transferred to another prison, and Andy is never attacked again. Andy is reassigned to the prison library to assist elderly inmate Brooks Hatlen, a long-serving convict who has acquired a crow named Jake as a pet. Brooks is paroled in 1954 after serving 50 years, but he cannot adjust to the outside world and eventually hangs himself.

    Andy starts to write weekly letters to the state legislature requesting funds for the library. In 1963, the legislature sends him a donation that includes funding for the library and a collection of phonograph records. Andy plays an aria from Mozart's The Marriage of Figaro over the public address system, resulting in him receiving solitary confinement. After his release from solitary, Andy explains that music represents hope to his fellow inmates. In 1965, he receives funding to expand the library, which he names in Brooks' honor.

    In 1966, Norton begins exploiting prison labor for public works, profiting by undercutting skilled labor costs and receiving bribes. Andy launders the money using the alias ""Randall Stephens"".

    In 1975, Tommy Williams is incarcerated for burglary. After hearing Andy's story, Tommy reveals that an inmate at another prison claimed responsibility for an identical murder, suggesting Andy's innocence. Norton, fearing Andy will divulge the money laundering, places Andy in solitary confinement and has Tommy killed by Hadley, claiming Tommy was shot while trying to escape.

    Andy declines to continue with the scam, but Norton threatens to destroy the library, take away his protection from the guards, and move him to worse conditions. Andy is released from solitary confinement after two months, and he tells Red of his dream of living in Zihuatanejo, a Mexican Pacific coastal town. Andy also tells him of a specific hayfield near Buxton, asking Red—once he is released—to retrieve a package that Andy buried there. Red, fearful of the prospect of going outside after so long, feels he won't be able to adjust to free life, but he later promises Andy that he will find the package.

    The next day at roll call, upon finding Andy's cell empty, an irate Norton throws a rock at the poster of Raquel Welch hanging on the cell wall, tearing it and revealing a tunnel that Andy had dug with his rock hammer over the past 19 years. The previous night, Andy used the tunnel to escape through the prison's sewage pipe with Norton's ledger, containing details of the money laundering. While guards search for him, Andy, posing as Randall Stephens, visits several banks to withdraw the laundered money. Finally, he sends the ledger and evidence of the corruption and murders at Shawshank to a local newspaper. The police arrive at Shawshank and arrest Hadley, while Norton commits suicide to avoid arrest.

    After serving 40 years, Red receives parole. He struggles to adapt to life outside prison and fears that he, too, might commit suicide like Brooks did. Remembering his promise to Andy, Red visits Buxton and finds a cache containing money and a letter asking him to come to Zihuatanejo. As Red violates his parole by traveling to Fort Hancock, Texas, and crossing the border into Mexico, he admits that he finally feels hope. He finds Andy on a beach in Zihuatanejo, and the two reunited friends happily embrace.","['Epic', 'Period Drama', 'Prison Drama', 'Drama']",9.3,tt0111161,,['Frank Darabont'],[],"['Epic', 'Period Drama', 'Prison Drama', 'Drama']","Epic, Period Drama, Prison Drama, Drama",['Frank Darabont'],Frank Darabont,[],,"In 1947, Andy Dufresne, a banker in Maine, is convicted of murdering his wife and her lover and is sentenced to two consecutive life sentences at Shawshank State Penitentiary. Andy befriends contraband smuggler Ellis ""Red"" Redding, an inmate serving a life sentence. Red procures a rock hammer and a large poster of Rita Hayworth for Andy. Working in the prison laundry, Andy is regularly assaulted by ""the Sisters"" and their leader, Bogs. In 1949, Andy overhears the captain of the guards, Byron Hadley, complaining about being taxed on an inheritance and offers to help him shelter the money legally. After an assault by the Sisters nearly kills Andy, Hadley beats Bogs severely. Bogs is transferred to another prison, and Andy is never attacked again. Andy is reassigned to the prison library to assist elderly inmate Brooks Hatlen, a long-serving convict who has acquired a crow named Jake as a pet. Brooks is paroled in 1954 after serving 50 years, but he cannot adjust to the outside world and eventually hangs himself. Andy starts to write weekly letters to the state legislature requesting funds for the library. In 1963, the legislature sends him a donation that includes funding for the library and a collection of phonograph records. Andy plays an aria from Mozart's The Marriage of Figaro over the public address system, resulting in him receiving solitary confinement. After his release from solitary, Andy explains that music represents hope to his fellow inmates. In 1965, he receives funding to expand the library, which he names in Brooks' honor. In 1966, Norton begins exploiting prison labor for public works, profiting by undercutting skilled labor costs and receiving bribes. Andy launders the money using the alias ""Randall Stephens"". In 1975, Tommy Williams is incarcerated for burglary. After hearing Andy's story, Tommy reveals that an inmate at another prison claimed responsibility for an identical murder, suggesting Andy's innocence. Norton, fearing Andy will divulge the money laundering, places Andy in solitary confinement and has Tommy killed by Hadley, claiming Tommy was shot while trying to escape. Andy declines to continue with the scam, but Norton threatens to destroy the library, take away his protection from the guards, and move him to worse conditions. Andy is released from solitary confinement after two months, and he tells Red of his dream of living in Zihuatanejo, a Mexican Pacific coastal town. Andy also tells him of a specific hayfield near Buxton, asking Red—once he is released—to retrieve a package that Andy buried there. Red, fearful of the prospect of going outside after so long, feels he won't be able to adjust to free life, but he later promises Andy that he will find the package. The next day at roll call, upon finding Andy's cell empty, an irate Norton throws a rock at the poster of Raquel Welch hanging on the cell wall, tearing it and revealing a tunnel that Andy had dug with his rock hammer over the past 19 years. The previous night, Andy used the tunnel to escape through the prison's sewage pipe with Norton's ledger, containing details of the money laundering. While guards search for him, Andy, posing as Randall Stephens, visits several banks to withdraw the laundered money. Finally, he sends the ledger and evidence of the corruption and murders at Shawshank to a local newspaper. The police arrive at Shawshank and arrest Hadley, while Norton commits suicide to avoid arrest. After serving 40 years, Red receives parole. He struggles to adapt to life outside prison and fears that he, too, might commit suicide like Brooks did. Remembering his promise to Andy, Red visits Buxton and finds a cache containing money and a letter asking him to come to Zihuatanejo. As Red violates his parole by traveling to Fort Hancock, Texas, and crossing the border into Mexico, he admits that he finally feels hope. He finds Andy on a beach in Zihuatanejo, and the two reunited friends happily embrace.","In 1947, Andy Dufresne, a banker in Maine, is convicted of murdering his wife and her lover and is sentenced to two consecutive life sentences at Shawshank State Penitentiary. Andy befriends contraband smuggler Ellis ""Red"" Redding, an inmate serving a life sentence. Red procures a rock hammer and a large poster of Rita Hayworth for Andy. Working in the prison laundry, Andy is regularly assaulted by ""the Sisters"" and their leader, Bogs. In 1949, Andy overhears the captain of the guards, Byron Hadley, complaining about being taxed on an inheritance and offers to help him shelter the money legally. After an assault by the Sisters nearly kills Andy, Hadley beats Bogs severely. Bogs is transferred to another prison, and Andy is never attacked again. Andy is reassigned to the prison library to assist elderly inmate Brooks Hatlen, a long-serving convict who has acquired a crow named Jake as a pet. Brooks is paroled in 1954 after serving 50 years, but he cannot adjust to the outside world and eventually hangs himself. Andy starts to write weekly letters to the state legislature requesting funds for the library. In 1963, the legislature sends him a donation that includes funding for the library and a collection of phonograph records. Andy plays an aria from Mozart's The Marriage of Figaro over the public address system, resulting in him receiving solitary confinement. After his release from solitary, Andy explains that music represents hope to his fellow inmates. In 1965, he receives funding to expand the library, which he names in Brooks' honor. In 1966, Norton begins exploiting prison labor for public works, profiting by undercutting skilled labor costs and receiving bribes. Andy launders the money using the alias ""Randall Stephens"". In 1975, Tommy Williams is incarcerated for burglary. After hearing Andy's story, Tommy reveals that an inmate at another prison claimed responsibility for an identical murder, suggesting Andy's innocence. Norton, fearing Andy will divulge the money laundering, places Andy in solitary confinement and has Tommy killed by Hadley, claiming Tommy was shot while trying to escape. Andy declines to continue with the scam, but Norton threatens to destroy the library, take away his protection from the guards, and move him to worse conditions. Andy is released from solitary confinement after two months, and he tells Red of his dream of living in Zihuatanejo, a Mexican Pacific coastal town. Andy also tells him of a specific hayfield near Buxton, asking Red—once he is released—to retrieve a package that Andy buried there. Red, fearful of the prospect of going outside after so long, feels he won't be able to adjust to free life, but he later promises Andy that he will find the package. The next day at roll call, upon finding Andy's cell empty, an irate Norton throws a rock at the poster of Raquel Welch hanging on the cell wall, tearing it and revealing a tunnel that Andy had dug with his rock hammer over the past 19 years. The previous night, Andy used the tunnel to escape through the prison's sewage pipe with Norton's ledger, containing details of the money laundering. While guards search for him, Andy, posing as Randall Stephens, visits several banks to withdraw the laundered money. Finally, he sends the ledger and evidence of the corruption and murders at Shawshank to a local newspaper. The police arrive at Shawshank and arrest Hadley, while Norton commits suicide to avoid arrest. After serving 40 years, Red receives parole. He struggles to adapt to life outside prison and fears that he, too, might commit suicide like Brooks did. Remembering his promise to Andy, Red visits Buxton and finds a cache containing money and a letter asking him to come to Zihuatanejo. As Red violates his parole by traveling to Fort Hancock, Texas, and crossing the border into Mexico, he admits that he finally feels hope. He finds Andy on a beach in Zihuatanejo, and the two reunited friends happily embrace. Epic, Period Drama, Prison Drama, Drama Frank Darabont "
The Godfather,2000.5,"Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day.","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",9.2,tt0068646,,['Francis Ford Coppola'],[],"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']","Epic, Gangster, Tragedy, Crime, Drama",['Francis Ford Coppola'],Francis Ford Coppola,[],,"Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day.","Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury. Freddie defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound. They reach unparalleled success, but in an unexpected turn Freddie, surrounded by darker influences, shuns Queen in pursuit of his solo career. Having suffered greatly without the collaboration of Queen, Freddie manages to reunite with his bandmates just in time for Live Aid. While bravely facing a recent AIDS diagnosis, Freddie leads the band in one of the greatest performances in the history of rock music. Queen cements a legacy that continues to inspire outsiders, dreamers and music lovers to this day. Epic, Gangster, Tragedy, Crime, Drama Francis Ford Coppola "
The Dark Knight,2008,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",['Action US Movies'],,tt0468569,,[],[],['Action US Movies'],Action US Movies,[],,[],,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes. Action US Movies  "
The Godfather: Part II,1974,"Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs.","['Crime', 'Drama']",9.0,tt0071562,,['Francis Ford Coppola'],"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","['Crime', 'Drama']","Crime, Drama",['Francis Ford Coppola'],Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs.","Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs. Crime, Drama Francis Ford Coppola Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
12 Angry Men,1957,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.",[],,tt0050083,,['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler', 'E.G. Marshall']",[],,['Sidney Lumet'],Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler', 'E.G. Marshall']","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall","The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.","The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.  Sidney Lumet Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall"
The Lord of the Rings: The Return of the King,2003,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",[],9.0,tt0167260,2071559.0,['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom', 'Noel Appleby']",[],,['Peter Jackson'],Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom', 'Noel Appleby']","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.  Peter Jackson Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby"
Pulp Fiction,1994,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",[],8.9,tt0110912,2327632.0,['Quentin Tarantino'],"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis', 'Tim Roth']",[],,['Quentin Tarantino'],Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis', 'Tim Roth']","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth","Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.","Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.  Quentin Tarantino John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth"
Schindler's List,1993,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.",[],9.0,tt0108052,1517767.0,['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall']",[],,['Steven Spielberg'],Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall']","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall","Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.  Steven Spielberg Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall"
Inception,2010,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",[],8.8,tt1375666,2674006.0,['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe', 'Tom Hardy']",[],,['Christopher Nolan'],Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe', 'Tom Hardy']","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.  Christopher Nolan Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy"
Fight Club,1999,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.",[],8.8,tt0137523,2455019.0,['David Fincher'],"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier', 'Richmond Arquette']",[],,['David Fincher'],David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier', 'Richmond Arquette']","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette","A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.","A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.  David Fincher Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette"
The Lord of the Rings: The Fellowship of the Ring,2001,"This film looks at life in the Bedford-Stuyvesant district of Brooklyn on a hot summer Sunday. As he does everyday, Sal Fragione opens the pizza parlor he's owned for 25 years. The neighborhood has changed considerably in the time he's been there and is now composed primarily of African-Americans and Hispanics. His son Pino hates it there and would like nothing better than to relocate the eatery to their own neighborhood. For Sal however, the restaurant represents something that is part of his life and sees it as a part of the community. What begins as a simple complaint by one of his customers, Buggin Out - who wonders why he has only pictures of famous Italian-Americans on the wall when most of his customers are black - eventually disintegrates into violence as frustration seemingly brings out the worst in everyone.","['Action', 'Adventure', 'Drama']",8.9,tt0120737,2101542.0,['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']","['Action', 'Adventure', 'Drama']","Action, Adventure, Drama",['Peter Jackson'],Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean","This film looks at life in the Bedford-Stuyvesant district of Brooklyn on a hot summer Sunday. As he does everyday, Sal Fragione opens the pizza parlor he's owned for 25 years. The neighborhood has changed considerably in the time he's been there and is now composed primarily of African-Americans and Hispanics. His son Pino hates it there and would like nothing better than to relocate the eatery to their own neighborhood. For Sal however, the restaurant represents something that is part of his life and sees it as a part of the community. What begins as a simple complaint by one of his customers, Buggin Out - who wonders why he has only pictures of famous Italian-Americans on the wall when most of his customers are black - eventually disintegrates into violence as frustration seemingly brings out the worst in everyone.","This film looks at life in the Bedford-Stuyvesant district of Brooklyn on a hot summer Sunday. As he does everyday, Sal Fragione opens the pizza parlor he's owned for 25 years. The neighborhood has changed considerably in the time he's been there and is now composed primarily of African-Americans and Hispanics. His son Pino hates it there and would like nothing better than to relocate the eatery to their own neighborhood. For Sal however, the restaurant represents something that is part of his life and sees it as a part of the community. What begins as a simple complaint by one of his customers, Buggin Out - who wonders why he has only pictures of famous Italian-Americans on the wall when most of his customers are black - eventually disintegrates into violence as frustration seemingly brings out the worst in everyone. Action, Adventure, Drama Peter Jackson Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Forrest Gump,1994,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",[],8.8,tt0109830,2371115.0,['Robert Zemeckis'],"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field', 'Rebecca Williams']",[],,['Robert Zemeckis'],Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field', 'Rebecca Williams']","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.  Robert Zemeckis Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams"
